clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
80529,POLIOLES,3000.000,3000.000,3000.000,3000.000,01/03/2024,,30.000,35.000,,"Covestro",""
80580,POLIOLES,9200.000,8500.000,8500.000,6000.000,01/03/2024,,2082.520,4174.740,3582.060,"Covestro",""
80619,POLIOLES,1.000,,,,01/03/2024,1.000,,,,"",""
80619,POLIOLES,9000.000,10000.000,10000.000,,01/03/2024,1290.380,1567.580,552.580,,"Shell",""
80619,POLIOLES,1616.904,1123.140,144.560,,01/03/2024,1616.904,1123.140,144.560,,"Covestro",""
80619,POLIOLES,45.600,120.380,,,01/03/2024,45.600,120.380,,,"",""
80619,POLIOLES,,26.300,2000.000,,01/03/2024,,26.300,,,"",""
80619,POLIOLES,4685.880,2646.120,,,01/03/2024,4685.880,2646.120,,,"",""
80619,POLIOLES,1620.680,692.240,,,01/03/2024,1620.680,692.240,,,"",""
80619,POLIOLES,51.140,237.940,,,01/03/2024,51.140,237.940,,,"",""
80619,POLIOLES,2090.660,1002.040,,,01/03/2024,2090.660,1002.040,,,"",""
80619,POLIOLES,108.280,311.360,,,01/03/2024,108.280,311.360,,,"",""
81686,ESTIRENO,160.140,183.100,183.000,183.000,01/03/2024,160.140,183.100,182.860,161.160,"",""
81988,POLIOLES,25000.000,40000.000,40000.000,,01/03/2024,,,,,"DOW, lyondell, Koreanos, chinos","ver  fila 29. CONTIMPEX va a Turquia"
81988A,GLICOLES,3482.148,2967.662,1149.436,754.000,01/03/2024,3482.148,2967.662,1149.436,753.692,"",""
81988A,POLIOLES,120000.000,130000.000,150000.000,170000.000,01/03/2024,9047.202,6359.094,2826.364,1819.985,"DOW, COVESTRO, SHELL, CHIMCOMPLEX, KOREANOS, CHINOS",""
82126,POLIOLES,150.000,88.000,,,01/03/2024,138.160,88.000,,,"ninguno",""
82583F,GLICOLES,333.000,300.480,215.000,200.000,01/03/2024,,,71.580,71.800,"",""
82583Y,GLICOLES,117.000,150.000,117.780,100.000,01/03/2024,116.740,45.800,117.780,71.680,"",""
82583,GLICOLES,333.040,300.480,215.000,168.000,01/03/2024,333.040,300.480,215.000,168.060,"",""
82586,GLICOLES,,,22.000,,01/03/2024,,,22.000,,"",""
82586,POLIOLES,700.000,700.000,700.000,700.000,01/03/2024,,6.160,28.000,208.920,"",""
82586_00HE,POLIOLES,5000.000,5000.000,5000.000,,01/03/2024,10.000,80.000,40.000,,"Lyondell",""
82586_01MA,GLICOLES,,52.080,28.000,,01/03/2024,,52.080,,,"",""
82586_01MA,POLIOLES,,20.000,,,01/03/2024,,20.000,,,"",""
82609,POLIOLES,2.000,,,,01/03/2024,2.000,,,,"",""
82996,POLIOLES,6200.000,6665.000,6065.150,5458.635,01/03/2024,1139.280,1056.980,409.920,364.360,"Shell, Covestro",""
83003,ESTIRENO,3600.000,3744.000,3407.040,2964.125,01/03/2024,1575.240,1357.620,1057.980,484.660,"Versalis",""
83003,GLICOLES,1500.000,1530.000,1468.800,1454.112,01/03/2024,482.800,241.500,73.960,144.200,"Ineos, Lyondell",""
